time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
-0.000119,0.006226429,0.006111684,-0.014442874,-0.013842532,-0.013842532
-0.000118,-0.013786251,0.002984704,-0.008814334,-0.018220262,-0.018220262
-0.000117,-0.021291011,-0.003269271,-0.006938134,-0.000709202,-0.000709202
-0.000116,-0.011284651,-0.012650221,0.011823746,0.010235235,0.010235235
-0.000115,0.002474069,-0.006396221,0.019328486,0.016801928,0.016801928
-0.000114,0.004975669,-0.011086721,0.004318986,-0.005087002,-0.005087002
-0.000113,-0.006281491,0.006111684,-0.003185794,-0.011653632,-0.011653632
-0.000112,0.002474069,0.009238679,-0.005061934,-0.011653632,-0.011653632
-0.000111,0.017483589,-0.001705771,-0.012566734,-0.011653632,-0.011653632
-0.00011,0.019985149,-0.014213671,-0.010690534,-0.002898102,-0.002898102
-0.000109,0.017483589,-0.004832771,0.006195176,0.008046349,0.008046349
-0.000108,0.006226429,0.010802179,0.015576146,0.016801928,0.016801928
-0.000107,0.004975669,0.012365629,0.023080886,0.021179658,0.021179658
-0.000106,0.002474069,0.007675179,0.009947552,0.001479691,0.001479691
-0.000105,-0.005030691,-0.007959721,-0.005061934,-0.018220262,-0.018220262
-0.000104,-0.017538611,-0.006396221,-0.006938134,-0.020409162,-0.020409162
-0.000103,-0.022541771,-0.001705771,0.000566606,-0.007275832,-0.007275832
-0.000102,-0.020040211,-0.006396221,-0.001309594,0.010235235,0.010235235
-0.000101,0.013731201,-0.003269271,-0.010690534,-0.011653632,-0.011653632
-0.0001,0.019985149,-0.001705771,-0.005061934,-0.026975862,-0.026975862
-0.000099,0.013731201,-0.004832771,0.006195176,-0.011653632,-0.011653632
-0.000098,0.001223269,-0.000142276,-0.005061934,0.010235235,0.010235235
-0.000097,-0.008783051,-0.000142276,-0.021947674,0.010235235,0.010235235
-0.000096,-0.006281491,0.001421212,-0.029452414,0.008046349,0.008046349
-0.000095,-0.006281491,-0.001705771,-0.012566734,0.012424128,0.012424128
-0.000094,-0.015037011,0.006111684,-0.012566734,0.003668575,0.003668575
-0.000093,-0.028795891,0.015492629,-0.020071474,-0.000709202,-0.000709202
-0.000092,-0.040052691,0.013929129,-0.018195274,0.001479691,0.001479691
-0.000091,-0.018789411,-0.006396221,-0.005061934,0.003668575,0.003668575
-0.00009,0.012480409,-0.023594621,0.000566606,0.008046349,0.008046349
-0.000089,0.018734389,-0.006396221,-0.008814334,0.005857463,0.005857463
-0.000088,0.003724869,0.006111684,-0.008814334,0.012424128,0.012424128
-0.000087,-0.008783051,0.006111684,0.006195176,0.016801928,0.016801928
-0.000086,-0.025043371,-0.003269271,0.015576146,0.010235235,0.010235235
-0.000085,-0.030046691,-0.001705771,0.008071364,-0.002898102,-0.002898102
-0.000084,-0.008783051,-0.001705771,-0.005061934,-0.011653632,-0.011653632
-0.000083,-0.007532291,0.004548194,-0.008814334,-0.016031432,-0.016031432
-0.000082,-0.010033851,0.001421212,-0.006938134,-0.005087002,-0.005087002
-0.000081,-0.013786251,-0.009523221,0.000566606,0.018990758,0.018990758
-0.00008,-0.018789411,-0.007959721,0.008071364,0.027746358,0.027746358
-0.000079,-0.017538611,-0.003269271,0.000566606,0.014613028,0.014613028
-0.000078,-0.012535451,0.004548194,-0.003185794,-0.005087002,-0.005087002
-0.000077,-0.002529091,-0.011086721,-0.020071474,-0.018220262,-0.018220262
-0.000076,0.013731201,-0.004832771,-0.008814334,-0.002898102,-0.002898102
-0.000075,0.014981993,0.002984704,0.006195176,0.008046349,0.008046349
-0.000074,0.012480409,0.013929129,0.006195176,0.003668575,0.003668575
-0.000073,0.009978825,0.002984704,0.006195176,-0.009464732,-0.009464732
-0.000072,0.008728029,0.002984704,-0.006938134,-0.005087002,-0.005087002
-0.000071,-0.001278291,-0.003269271,-0.006938134,0.005857463,0.005857463
-0.00007,0.001223269,-0.004832771,0.006195176,0.012424128,0.012424128
-0.000069,0.001223269,0.004548194,0.021204686,0.010235235,0.010235235
-0.000068,-0.002529091,0.015492629,0.021204686,-0.000709202,-0.000709202
-0.000067,0.001223269,0.002984704,0.000566606,-0.007275832,-0.007275832
-0.000066,-0.005030691,0.004548194,-0.010690534,-0.005087002,-0.005087002
-0.000065,-0.013786251,0.013929129,-0.016319074,-0.009464732,-0.009464732
-0.000064,-0.021291011,0.002984704,0.008071364,-0.000709202,-0.000709202
-0.000063,-0.017538611,-0.004832771,0.019328486,0.012424128,0.012424128
-0.000062,0.002474069,0.002984704,0.013699946,0.018990758,0.018990758
-0.000061,0.013731201,0.006111684,0.000566606,0.001479691,0.001479691
-0.00006,0.001223269,0.002984704,-0.010690534,-0.009464732,-0.009464732
-0.000059,-0.010033851,0.010802179,-0.005061934,-0.005087002,-0.005087002
-0.000058,-0.012535451,0.012365629,0.000566606,0.010235235,0.010235235
-0.000057,-0.016287811,0.024873579,-0.001309594,0.016801928,0.016801928
-0.000056,-0.010033851,0.018619629,0.000566606,0.018990758,0.018990758
-0.000055,-0.011284651,0.013929129,-0.001309594,0.010235235,0.010235235
-0.000054,-0.008783051,-0.007959721,0.000566606,-0.013842532,-0.013842532
-0.000053,-0.017538611,-0.003269271,0.008071364,-0.026975862,-0.026975862
-0.000052,-0.005030691,0.006111684,0.008071364,-0.016031432,-0.016031432
-0.000051,0.013731201,0.006111684,0.011823746,-0.000709202,-0.000709202
-0.00005,0.019985149,-0.012650221,0.023080886,0.005857463,0.005857463
-0.000049,0.013731201,-0.015777171,0.028709426,0.008046349,0.008046349
-0.000048,0.007477229,-0.015777171,0.021204686,-0.000709202,-0.000709202
-0.000047,0.002474069,0.006111684,0.008071364,0.008046349,0.008046349
-0.000046,0.009978825,0.010802179,-0.010690534,0.012424128,0.012424128
-0.000045,0.003724869,0.006111684,-0.020071474,-0.005087002,-0.005087002
-0.000044,0.004975669,0.007675179,-0.005061934,-0.020409162,-0.020409162
-0.000043,0.014981993,0.017056129,0.009947552,-0.018220262,-0.018220262
-0.000042,0.022486749,0.007675179,-0.003185794,-0.007275832,-0.007275832
-0.000041,0.016232789,-0.017340671,-0.018195274,-0.005087002,-0.005087002
-0.00004,0.001223269,-0.025158121,-0.016319074,-0.018220262,-0.018220262
-0.000039,-0.023792571,-0.025158121,-0.014442874,-0.029164762,-0.029164762
-0.000038,-0.021291011,-0.011086721,-0.010690534,-0.022598062,-0.022598062
-0.000037,-0.007532291,-0.014213671,-0.010690534,-0.011653632,-0.011653632
-0.000036,0.002474069,-0.018904171,0.006195176,-0.000709202,-0.000709202
-0.000035,-0.003779891,-0.017340671,0.023080886,0.008046349,0.008046349
-0.000034,-0.010033851,0.006111684,0.023080886,0.005857463,0.005857463
-0.000033,-0.008783051,0.010802179,-0.010690534,0.008046349,0.008046349
-0.000032,0.004975669,-0.007959721,-0.036957154,-0.000709202,-0.000709202
-0.000031,0.011229616,-0.023594621,-0.023823874,0.001479691,0.001479691
-0.00003,0.017483589,-0.014213671,0.009947552,0.008046349,0.008046349
-0.000029,0.016232789,-0.003269271,0.023080886,0.016801928,0.016801928
-0.000028,0.003724869,-0.004832771,0.015576146,0.023368558,0.023368558
-0.000027,-0.003779891,-0.012650221,0.000566606,0.018990758,0.018990758
-0.000026,-0.008783051,-0.014213671,-0.003185794,0.029935188,0.029935188
-0.000025,-0.001278291,-0.014213671,0.004318986,0.036501888,0.036501888
