time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
-0.000119,0,0,0.0097487,0,0
-0.000118,0,0,0.011624,0,0
-0.000117,0,0,0.0097487,0,0
-0.000116,0,0,0.0022468,0,0
-0.000115,0,0,-0.0033796,0,0
-0.000114,0,0,-0.009006,0,0
-0.000113,0,0,-0.010882,0,0
-0.000112,0,0,-0.0071306,0,0
-0.000111,0,0,-0.016508,0,0
-0.00011,0,0,-0.016508,0,0
-0.000109,0,0,0.0041223,0,0
-0.000108,0,0,0.017251,0,0
-0.000107,0,0,0.019126,0,0
-0.000106,0,0,0.022877,0,0
-0.000105,0,0,0.028504,0,0
-0.000104,0,0,0.017251,0,0
-0.000103,0,0,0.0097487,0,0
-0.000102,0,0,0.017251,0,0
-0.000101,0,0,0.0135,0,0
-0.0001,0,0,0.0078732,0,0
-0.000099,0,0,0.0135,0,0
-0.000098,0,0,0.030379,0,0
-0.000097,0,0,0.026628,0,0
-0.000096,0,0,0.015375,0,0
-0.000095,0,0,0.0022468,0,0
-0.000094,0,0,0.028504,0,0
-0.000093,0,0,0.022877,0,0
-0.000092,0,0,0.021002,0,0
-0.000091,0,0,0.0135,0,0
-0.00009,0,0,0.0041223,0,0
-0.000089,0,0,-0.0033796,0,0
-0.000088,0,0,-0.0015041,0,0
-0.000087,0,0,-0.018383,0,0
-0.000086,0,0,-0.014632,0,0
-0.000085,0,0,-0.016508,0,0
-0.000084,0,0,0.0041223,0,0
-0.000083,0,0,0.0059978,0,0
-0.000082,0,0,0.017251,0,0
-0.000081,0,0,0.028504,0,0
-0.00008,0,0,0.028504,0,0
-0.000079,0,0,0.0041223,0,0
-0.000078,0,0,-0.0071306,0,0
-0.000077,0,0,-0.009006,0,0
-0.000076,0,0,-0.009006,0,0
-0.000075,0,0,-0.012757,0,0
-0.000074,0,0,-0.012757,0,0
-0.000073,0,0,-0.0015041,0,0
-0.000072,0,0,0.00037134,0,0
-0.000071,0,0,0.0135,0,0
-0.00007,0,0,0.0135,0,0
-0.000069,0,0,0.011624,0,0
-0.000068,0,0,0.0022468,0,0
-0.000067,0,0,0.011624,0,0
-0.000066,0,0,0.022877,0,0
-0.000065,0,0,0.024753,0,0
-0.000064,0,0,0.017251,0,0
-0.000063,0,0,0.019126,0,0
-0.000062,0,0,0.0135,0,0
-0.000061,0,0,-0.0071306,0,0
-0.00006,0,0,-0.009006,0,0
-0.000059,0,0,-0.0015041,0,0
-0.000058,0,0,0.011624,0,0
-0.000057,0,0,0.0135,0,0
-0.000056,0,0,0.0041223,0,0
-0.000055,0,0,-0.0071306,0,0
-0.000054,0,0,-0.012757,0,0
-0.000053,0,0,-0.0015041,0,0
-0.000052,0,0,0.0097487,0,0
-0.000051,0,0,0.0041223,0,0
-0.00005,0,0,0.0059978,0,0
-0.000049,0,0,0.0078732,0,0
-0.000048,0,0,0.0078732,0,0
-0.000047,0,0,0.00037134,0,0
-0.000046,0,0,0.0078732,0,0
-0.000045,0,0,0.0041223,0,0
-0.000044,0,0,0.0041223,0,0
-0.000043,0,0,0.015375,0,0
-0.000042,0,0,0.011624,0,0
-0.000041,0,0,0.019126,0,0
-0.00004,0,0,0.017251,0,0
-0.000039,0,0,0.0078732,0,0
-0.000038,0,0,-0.0052551,0,0
-0.000037,0,0,-0.009006,0,0
-0.000036,0,0,-0.014632,0,0
-0.000035,0,0,-0.0052551,0,0
-0.000034,0,0,0.011624,0,0
-0.000033,0,0,0.0135,0,0
-0.000032,0,0,0.0097487,0,0
-0.000031,0,0,-0.025885,0,0
-0.00003,0,0,-0.039014,0,0
-0.000029,0,0,-0.027761,0,0
-0.000028,0,0,-0.010882,0,0
-0.000027,0,0,0.021002,0,0
-0.000026,0,0,0.028504,0,0
-0.000025,0,0,0.0059978,0,0
-0.000024,0,0,-0.010882,0,0
-0.000023,0,0,-0.020259,0,0
-0.000022,0,0,0.0135,0,0
-0.000021,0,0,0.022877,0,0
-0.00002,0,0,0.022877,0,0
-0.000019,0,0,0.0059978,0,0
-0.000018,0,0,0.0078732,0,0
-0.000017,0,0,0.011624,0,0
-0.000016,0,0,0.00037134,0,0
-0.000015,0,0,-0.0015041,0,0
-0.000014,0,0,0.0135,0,0
-0.000013,0,0,0.019126,0,0
-0.000012,0,0,0.022877,0,0
-0.000011,0,0,0.030379,0,0
-0.00001,0,0,0.019126,0,0
-0.000009,0,0,-0.0071306,0,0
-0.000008,0,0,0.0022468,0,0
-0.000007,0,0,0.021002,0,0
-0.000006,0,0,0.028504,0,0
-0.000005,0,0,0.021002,0,0
-0.000004,0,0,0.0059978,0,0
-0.000003,0,0,-0.0033796,0,0
-0.000002,0,0,-0.0052551,0,0
-0.000001,0,0,0.0078732,0,0
0,0,0,0.0059978,0,0
0.000001,0,0,0.0041223,0,0
0.000002,0,0,0.0097487,0,0
0.000003,0,0,0.015375,0,0
0.000004,0,0,0.0022468,0,0
0.000005,0,0,-0.012757,0,0
0.000006,0,0,0.0022468,0,0
0.000007,0,0,0.030379,0,0
0.000008,0,0,0.015375,0,0
0.000009,0,0,-0.014632,0,0
0.00001,0,0,-0.012757,0,0
0.000011,0,0,-0.010882,0,0
0.000012,0,0,0.00037134,0,0
0.000013,0,0,0.011624,0,0
0.000014,0,0,0.019126,0,0
0.000015,0,0,0.0135,0,0
0.000016,0,0,0.019126,0,0
0.000017,0,0,0.0135,0,0
0.000018,0,0,0.0097487,0,0
0.000019,0,0,0.00037134,0,0
0.00002,0,0,-0.009006,0,0
0.000021,0,0,-0.018383,0,0
0.000022,0,0,-0.0052551,0,0
0.000023,0,0,-0.0033796,0,0
0.000024,0,0,0.0041223,0,0
0.000025,0,0,0.0059978,0,0
0.000026,0,0,-0.020259,0,0
0.000027,0,0,-0.022134,0,0
0.000028,0,0,0.00037134,0,0
0.000029,0,0,0.0135,0,0
0.00003,0,0,0.015375,0,0
0.000031,0,0,0.021002,0,0
0.000032,0,0,0.019126,0,0
0.000033,0,0,0.017251,0,0
0.000034,0,0,0.019126,0,0
0.000035,0,0,0.017251,0,0
0.000036,0,0,0.0059978,0,0
0.000037,0,0,0.019126,0,0
0.000038,0,0,0.019126,0,0
0.000039,0,0,0.0097487,0,0
0.00004,0,0,0.0078732,0,0
0.000041,0,0,0.0097487,0,0
0.000042,0,0,0.0059978,0,0
0.000043,0,0,0.00037134,0,0
0.000044,0,0,0.00037134,0,0
0.000045,0,0,-0.014632,0,0
0.000046,0,0,-0.025885,0,0
0.000047,0,0,-0.0015041,0,0
0.000048,0,0,0.0097487,0,0
0.000049,0,0,0.0097487,0,0
0.00005,0,0,0.0022468,0,0
0.000051,0,0,-0.010882,0,0
0.000052,0,0,-0.010882,0,0
0.000053,0,0,0.0097487,0,0
0.000054,0,0,0.019126,0,0
0.000055,0,0,0.0022468,0,0
0.000056,0,0,-0.0015041,0,0
0.000057,0,0,0.011624,0,0
0.000058,0,0,0.0097487,0,0
0.000059,0,0,-0.0052551,0,0
0.00006,0,0,-0.012757,0,0
0.000061,0,0,-0.0052551,0,0
0.000062,0,0,0.011624,0,0
0.000063,0,0,0.019126,0,0
0.000064,0,0,0.0078732,0,0
0.000065,0,0,0.00037134,0,0
0.000066,0,0,0.0022468,0,0
0.000067,0,0,0.021002,0,0
0.000068,0,0,0.030379,0,0
0.000069,0,0,0.017251,0,0
0.00007,0,0,-0.0015041,0,0
0.000071,0,0,-0.016508,0,0
0.000072,0,0,0.00037134,0,0
0.000073,0,0,0.028504,0,0
0.000074,0,0,0.030379,0,0
0.000075,0,0,0.015375,0,0
0.000076,0,0,0.0078732,0,0
0.000077,0,0,0.0041223,0,0
0.000078,0,0,0.024753,0,0
0.000079,0,0,0.037881,0,0
0.00008,0,0,0.017251,0,0
0.000081,0,0,-0.0071306,0,0
0.000082,0,0,-0.009006,0,0
0.000083,0,0,-0.010882,0,0
0.000084,0,0,-0.009006,0,0
